name,area,bhk,type,projectId
Ramaa Buildcon,Jahangirabad,"1BHK Apartment, 2BHK Apartment",Residential,5f881e65ee70ad001857ec58
ORIANA ASSOCIATES,Citylight,"3BHK Apartment, 4BHK Apartment,5BHK Apartment, Banglows",Residential,5f87eea8ee70ad001857e4ff
Soham Group,"Pal, Palanpore, Adajan","2BHK Apartment, Offices, Shops","Residential,Commercial",5f8d101fa2a69f0011f610e8
Shiven Group,"Jahangirabad, Palanpore","2BHK Apartment, 3BHK Apartment",Residential,5f87e0b2ee70ad001857e10b
Creative Infra,Palanpore,"2BHK Apartment, 3BHK Apartment, Shops","Residential,Commercial",5f86f792ee70ad001857d84c
Universal Alliance,"Palanpore, Jahangirabad, Masma,Varachha,Jothan","3BHK Apartment, Row House, Residential Plots, Offices, Shops","Residential,Commercial,Plot",5f87f289ee70ad001857e5dd
Piramyd Group,"Pal, Palanpore, Barbodhan","2BHK Apartment, 3BHK Apartment, 4BHKApartment ,5BHK Apartment, Banglows,Vacation Homes, Shops","Residential,Commercial,Plot",5f897e15a2a69f0011f5eccf
RAGHUVIR DEVELOPERS AND BUILDERS,"Vesu, Saroli","2BHK Apartment, 3BHK Apartment, 4BHKApartment ,5BHK Apartment, Offices, Shops","Residential,Commercial,Plot",5f8acff3a2a69f0011f6017e
GRUHAM DEVELOPERS ,Outskirt,"Row House, Farm House & Vacation Homes, Offices, Shops","Residential,Commercial,Plot",5f883ed4ee70ad001857f2a0
Laxmi Developer,"Ring road,Anjana","Offices, Shops, Other",Commercial,5f87de50ee70ad001857e028
Laxmi Developers,Katargam ,"Offices, Shops",Commercial,5f87e3dcee70ad001857e222
HAPPY HOME GROUP, Palanpore,"2BHK Apartment, 3BHK Apartment",Residential,5f87e59aee70ad001857e28a
Green Group / Sardhara Group,"Pal,Palanpore","3BHK Apartment, Offices, Shops","Residential,Commercial",5f8d688b5470df001809eec0
Meera Group,Bhimrad Canal Road,"2BHK Apartment, 3BHK Apartment",Residential,5f882cbbee70ad001857ee1a
Devshree Group,jahangirpura,2BHK Apartment,Residential,5f87de50ee70ad001857e028
SHRUNGAL GROUP,Bamroli,"2BHK Apartment, 3BHK Apartment",Residential,5f8aadffa2a69f0011f5fd7d
BLU GROUP,Pal,"3BHK Apartment, 4BHKApartment ,5BHK Apartment",Residential,5f8ab163a2a69f0011f5fdb1
Sangini Group,"Vesu, Adajan, Pal, Jahangirabad, Saroli, Kumbharia","1BHK Apartment, 2BHK Apartment, 3BHK Apartment, 4BHK Apartment, 5BHK Apartment, Offices, Shops","Residential,Commercial",
Sangini Group,"Adajan, Pal, Jahangirpura","1BHK Apartment, 2BHK Apartment, 3BHK Apartment, Offices, Shops","Residential,Commercial",
Sangini Group,"Vesu, Saroli, Kumbharia","3BHK Apartment, 4BHK Apartment, 5BHK Apartment",Residential,
SHUBH GROUP,"Dindoli,Punagam,Varachha","2BHK Apartment, 3BHK Apartment, Shops","Residential,Commercial",5f8a7c66a2a69f0011f5f753
ASHTALAXMI DEVELOPERS,Katargam ,"Offices, Shops, Other",Commercial,
ASHTALAXMI DEVELOPERS,Singanpore,"Offices, Shops, Other",Commercial,
Green Group,Parvat Patiya,"1BHK Apartment, 2BHK Apartment, 3BHK Apartment, 4BHK Apartment, 5BHK Apartment, Offices, Shops","Residential,Commercial",5f8d688b5470df001809eec0
Green Group,"Jahangirabad , Pal , Adajan","1BHK Apartment, 2BHK Apartment, 3BHK Apartment, 4BHK Apartment, 5BHK Apartment, Offices, Shops","Residential,Commercial",
Green Group,Vesu ,"1BHK Apartment, 2BHK Apartment, 3BHK Apartment, 4BHK Apartment, 5BHK Apartment, Offices, Shops","Residential,Commercial",
Marvella Group, Adajan,3BHK Apartment,Residential,5f8a73aea2a69f0011f5f58b
Vacanza Developers,Vesu,"2BHK Apartment, Bunglows, Offices, Shops","Residential,Commercial",5f8a7544a2a69f0011f5f5c5
Sairam Group,Palanpore,2BHK Apartment,Residential,5f8ae63ba2a69f0011f604e1
Roongta Developers,Vesu,"2BHK Apartment, 4BHK Apartment, 5BHK Apartment",Residential,
CASA RIVERA,Pal,"4BHK Apartment, 5BHK Apartment",Residential,5f8d31045470df001809e973
Sartha Group - Sukenbhai,"Citylight, Vesu, Outskirt","3BHK Apartment, 4BHK Apartment. 5BHK Apartment,Vacation Homes, Offices, Shops","Residential,Commercial",5f8dcb1d59cbc3001824be2e
M M INFRASTRUCTURE,"Godadra, Parvatpatiya","2BHK Apartment, 3BHK Apartment",Residential,5f8edede30d0810011c00ac6
Happy Home Group,Jahangirabad,"2BHK Apartment, 3BHK Apartment",Residential,5f87e59aee70ad001857e28a
,UNIQUE SQUARE,"Offices, Shops, Other",,
SunRealtors ,"Vesu, Katargam, Amroli, Kumbharia ","2BHK Apartment, 3BHK Apartment, 4BHK Apartment, 5BHK Apartment, Offices, Shops","Residential,Commercial",5f8d39455470df001809ea7c
101 INFRA & DHARAM ENTERPRISE,"Adajan,Palanpore","3BHK Apartment, Vacation Homes",Residential,5f8d39495470df001809ea91
Shaligram Group,"Adajan,Pal,Katargam","3BHK Apartment, 4BHK Apartment,5BHK Apartment",Residential,
Shyam Developers,"jahingirpura,dindoli","2BHK Apartment, Bunglows, Shops","Residential,Commercial",5f8d25895470df001809e8e2
A & J Developers ,"Bhestan,Dindoli","2BHK Apartment, 3BHK Apartment, Row House",Residential,5f8d33975470df001809e9c6
Rajhans Group,Vesu ,"2BHK Apartment, 3BHK Apartment, 4BHK Apartment, 5BHK Apartment, Offices, Shops","Residential,Commercial",5f8a8c14a2a69f0011f5f8f2
Marvella Group,Althan ,2BHK Apartment,Residential,5f8a73aea2a69f0011f5f58b
Marvella Group,Althan,2BHK Apartment,Residential,
MARVELLA Group,Althan,"2BHK Apartment, 3BHK Apartment, Shops","Residential,Commercial",
